🚀 Starting WebSocket server on port 5000...
✅ WebSocket server ready - waiting for connections...
🎯 Starting BPF monitoring - waiting for DASH traffic on port 8000...
🔍 Starting TCP metrics monitoring for DASH traffic...
✅ eBPF agent and WebSocket server are running in the background.
📡 DASH: 3.1kbps, RTT: 207.4ms (10.0.0.1:8000 → 10.0.0.2:36494)
📡 DASH: 17.7kbps, RTT: 224.4ms (10.0.0.1:8000 → 10.0.0.2:36494)
📡 DASH: 8019.6kbps, RTT: 274.6ms (10.0.0.1:8000 → 10.0.0.2:36494)
📡 DASH: 8019.6kbps, RTT: 438.4ms (10.0.0.1:8000 → 10.0.0.2:36494)
📡 DASH: 8019.6kbps, RTT: 602.2ms (10.0.0.1:8000 → 10.0.0.2:36494)
📡 DASH: 2748.2kbps, RTT: 908.7ms (10.0.0.1:8000 → 10.0.0.2:36494)
📡 DASH: 2748.2kbps, RTT: 1216.3ms (10.0.0.1:8000 → 10.0.0.2:36494)
📡 DASH: 1406.4kbps, RTT: 1457.9ms (10.0.0.1:8000 → 10.0.0.2:36496)
📡 DASH: 1406.4kbps, RTT: 1567.6ms (10.0.0.1:8000 → 10.0.0.2:36496)
📡 DASH: 4.1kbps, RTT: 1383.5ms (10.0.0.1:8000 → 10.0.0.2:57908)
📡 DASH: 4.1kbps, RTT: 1056.7ms (10.0.0.1:8000 → 10.0.0.2:57908)
📡 DASH: 4.1kbps, RTT: 731.8ms (10.0.0.1:8000 → 10.0.0.2:57922)
📡 DASH: 4.1kbps, RTT: 439.8ms (10.0.0.1:8000 → 10.0.0.2:57922)
📡 DASH: 4.1kbps, RTT: 147.9ms (10.0.0.1:8000 → 10.0.0.2:57922)
📡 DASH: 5.7kbps, RTT: 155.0ms (10.0.0.1:8000 → 10.0.0.2:57922)
📡 DASH: 8224.1kbps, RTT: 201.1ms (10.0.0.1:8000 → 10.0.0.2:57922)
📡 DASH: 8224.1kbps, RTT: 379.5ms (10.0.0.1:8000 → 10.0.0.2:57922)
📡 DASH: 2529.3kbps, RTT: 642.3ms (10.0.0.1:8000 → 10.0.0.2:57938)
📡 DASH: 2529.3kbps, RTT: 905.0ms (10.0.0.1:8000 → 10.0.0.2:57938)
📡 DASH: 6.2kbps, RTT: 896.0ms (10.0.0.1:8000 → 10.0.0.2:57950)
📡 DASH: 6.2kbps, RTT: 847.9ms (10.0.0.1:8000 → 10.0.0.2:57950)
📡 DASH: 6.2kbps, RTT: 671.3ms (10.0.0.1:8000 → 10.0.0.2:57954)
📡 DASH: 6.2kbps, RTT: 410.3ms (10.0.0.1:8000 → 10.0.0.2:57954)
📡 DASH: 6.2kbps, RTT: 149.2ms (10.0.0.1:8000 → 10.0.0.2:57954)
📡 DASH: 11.2kbps, RTT: 160.1ms (10.0.0.1:8000 → 10.0.0.2:57954)
📡 DASH: 8508.5kbps, RTT: 207.0ms (10.0.0.1:8000 → 10.0.0.2:57954)
📡 DASH: 8508.5kbps, RTT: 386.2ms (10.0.0.1:8000 → 10.0.0.2:57954)
📡 DASH: 8508.5kbps, RTT: 565.4ms (10.0.0.1:8000 → 10.0.0.2:57954)
📡 DASH: 2794.3kbps, RTT: 563.3ms (10.0.0.1:8000 → 10.0.0.2:57970)
📡 DASH: 33242.4kbps, RTT: 555.9ms (10.0.0.1:8000 → 10.0.0.2:57970)
📡 DASH: 4.7kbps, RTT: 512.4ms (10.0.0.1:8000 → 10.0.0.2:57974)
📡 DASH: 4.7kbps, RTT: 331.0ms (10.0.0.1:8000 → 10.0.0.2:57974)
📡 DASH: 730.8kbps, RTT: 149.5ms (10.0.0.1:8000 → 10.0.0.2:57976)
📡 DASH: 730.8kbps, RTT: 149.2ms (10.0.0.1:8000 → 10.0.0.2:57976)
📡 DASH: 730.8kbps, RTT: 148.9ms (10.0.0.1:8000 → 10.0.0.2:57976)
📡 DASH: 730.8kbps, RTT: 188.1ms (10.0.0.1:8000 → 10.0.0.2:57976)
📡 DASH: 3389.5kbps, RTT: 328.2ms (10.0.0.1:8000 → 10.0.0.2:57976)
📡 DASH: 3389.5kbps, RTT: 552.4ms (10.0.0.1:8000 → 10.0.0.2:57976)
📡 DASH: 3389.5kbps, RTT: 776.6ms (10.0.0.1:8000 → 10.0.0.2:57976)
📡 DASH: 2862.5kbps, RTT: 775.3ms (10.0.0.1:8000 → 10.0.0.2:57988)
📡 DASH: 2862.5kbps, RTT: 734.5ms (10.0.0.1:8000 → 10.0.0.2:57988)
📡 DASH: 8.9kbps, RTT: 597.5ms (10.0.0.1:8000 → 10.0.0.2:57990)
📡 DASH: 8.9kbps, RTT: 376.6ms (10.0.0.1:8000 → 10.0.0.2:57990)
